iter	Passed	Remaining
592	15390	10563
593	15414	10536
594	15441	10510
595	15466	10483
596	15491	10457
597	15516	10431
598	15539	10402
599	15563	10375
600	15586	10347
601	15610	10320
602	15635	10294
603	15659	10266
604	15684	10240
605	15708	10213
606	15734	10187
607	15758	10160
608	15783	10133
609	15805	10105
610	15831	10079
611	15855	10052
612	15882	10027
613	15910	10002
614	15940	9979
615	15968	9954
616	15995	9929
617	16019	9902
618	16044	9875
619	16069	9849
620	16096	9823
621	16126	9800
622	16151	9773
623	16179	9749
624	16204	9722
625	16228	9695
626	16258	9672
627	16286	9647
628	16315	9623
629	16343	9598
630	16371	9573
631	16399	9549
632	16426	9523
633	16449	9496
634	16476	9470
635	16498	9442
636	16521	9415
637	16543	9386
638	16572	9362
639	16598	9336
640	16624	9310
641	16650	9285
642	16677	9259
643	16702	9232
644	16726	9205
645	16752	9180
646	16780	9155
647	16809	9130
648	16833	9104
649	16860	9078
650	16885	9052
651	16913	9027
652	16940	9002
653	16966	8975
654	16993	8950
655	17018	8924
656	17046	8899
657	17072	8873
658	17099	8848
659	17126	8822
660	17151	8796
661	17180	8772
662	17209	8747
663	17234	8720
664	17262	8696
665	17288	8670
666	17311	8642
667	17340	8618
668	17365	8591
669	17393	8566
670	17424	8543
671	17451	8517
672	17476	8491
673	17504	8466
674	17533	8442
675	17561	8416
676	17587	8391
677	17613	8365
678	17642	8340
679	17671	8315
680	17699	8290
681	17726	8265
682	17753	8239
683	17777	8213
684	17806	8188
685	17831	8162
686	17861	8137
687	17887	8111
688	17912	8085
689	17941	8060
690	17968	8034
691	17993	8008
692	18024	7984
693	18048	7957
694	18075	7932
695	18101	7906
696	18128	7880
697	18156	7855
698	18184	7830
699	18207	7803
700	18232	7776
701	18256	7750
702	18282	7723
703	18305	7696
704	18331	7670
705	18355	7643
706	18380	7617
707	18405	7590
708	18427	7563
709	18452	7536
710	18475	7509
711	18503	7484
712	18527	7457
713	18550	7430
714	18577	7404
715	18600	7377
716	18625	7351
717	18649	7324
718	18675	7298
719	18688	7267
720	18717	7242
721	18744	7217
722	18770	7191
723	18795	7165
724	18819	7138
725	18846	7113
726	18871	7086
727	18894	7059
728	18919	7033
729	18946	7007
730	18972	6981
731	18996	6954
732	19019	6928
733	19046	6902
734	19072	6876
735	19099	6850
736	19127	6825
737	19155	6800
738	19181	6774
739	19204	6747
740	19230	6721
741	19254	6694
742	19281	6669
743	19305	6642
744	19329	6616
745	19357	6590
746	19381	6564
747	19407	6538
748	19431	6511
749	19457	6485
750	19481	6459
751	19506	6433
752	19531	6406
753	19557	6380
754	19582	6354
755	19606	6328
756	19631	6301
757	19655	6275
758	19683	6250
759	19709	6224
760	19737	6198
761	19763	6172
762	19790	6147
763	19817	6121
764	19844	6096
765	19870	6069
766	19896	6044
767	19923	6018
768	19948	5992
769	19973	5966
770	19999	5940
771	20025	5914
772	20050	5887
773	20073	5861
774	20101	5836
775	20125	5809
776	20150	5783
777	20182	5758
778	20207	5732
779	20233	5706
780	20261	5681
781	20289	5656
782	20316	5630
783	20341	5604
784	20368	5578
785	20391	5551
786	20415	5525
787	20441	5499
788	20465	5473
789	20492	5447
790	20516	5420
791	20539	5394
792	20563	5367
793	20586	5341
794	20612	5315
795	20635	5288
796	20659	5262
797	20685	5236
798	20708	5209
799	20733	5183
800	20759	5157
801	20786	5131
802	20816	5106
803	20843	5081
804	20870	5055
805	20896	5029
806	20920	5003
807	20943	4976
808	20968	4950
809	20994	4924
810	21020	4898
811	21048	4873
812	21072	4846
813	21099	4821
814	21125	4795
815	21149	4768
816	21171	4742
817	21196	4716
818	21222	4690
819	21246	4663
820	21270	4637
821	21298	4612
822	21321	4585
823	21347	4559
824	21371	4533
825	21397	4507
826	21422	4481
827	21449	4455
828	21472	4429
829	21497	4403
830	21520	4376
831	21546	4350
832	21571	4324
833	21596	4298
834	21619	4272
835	21647	4246
836	21672	4220
837	21697	4194
838	21723	4168
839	21749	4142
840	21773	4116
841	21794	4089
842	21820	4063
843	21844	4037
844	21871	4011
845	21897	3986
846	21921	3959
847	21947	3933
848	21972	3907
849	21997	3881
850	22021	3855
851	22047	3829
852	22073	3803
853	22099	3778
854	22126	3752
855	22152	3726
856	22180	3701
857	22205	3674
858	22230	3649
859	22255	3623
860	22282	3597
861	22307	3571
862	22332	3545
863	22358	3519
864	22385	3493
865	22413	3468
866	22439	3442
867	22465	3416
868	22490	3390
